Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Denmark,DNK,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,150622795464.853,155501332478.69,163392827214.927,163075196723.695,175260897757.598,182397082911.388,199389692929.505,208070868615.94,222270206816.281,214693623344.71,230426087370.975,233533586925.415,
Djibouti,DJI,"Population, total",SP.POP.TOTL,731930,749604,765283,779640,793738,808367,823682,839453,855636,872090,888716,905564,
Djibouti,DJI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1172656156.70836,1215702267.4469,1272814317.66966,1414563145.41738,1531752256.55074,1628194823.1611,1787187720.12344,1921010241.29401,2054448652.57506,2137663357.02398,,,
Dominica,DMA,"Population, total",SP.POP.TOTL,69672,69447,69301,69200,69087,68925,68700,68434,68159,67922,67757,67675,
Dominica,DMA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,455350184.196967,489363575.87991,481679896.214316,531731143.864205,556171332.758641,576637629.7023,649229813.782272,697993412.634412,776587603.873431,843016380.950217,864910851.435895,880047749.069199,
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,8591967,8726256,8860760,8995398,9129965,9264267,9398285,9531954,9664948,9796852,9927320,10056181,
Dominican Republic,DOM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,42182033648.7992,43897727575.6454,47217532770.7788,46976411791.9447,48025554988.6074,55802818108.7217,64047100012.4377,71577207922.0993,77876700460.3105,81781550488.7047,89214059825.7144,94742886951.4611,
Ecuador,ECU,"Population, total",SP.POP.TOTL,12345023,12552036,12767415,12987992,13208869,13426402,13639708,13849721,14056740,14261566,14464739,14666055,
Ecuador,ECU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,53716071107.4209,59496110828.3352,64234815734.2316,67664394039.542,75345102823.7525,83116856912.1368,90374419625.2787,94998683217.7925,105847507024.509,107692001532.381,113298030493.708,124742355521.04,
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,67648419,68888032,70174632,71498433,72844998,74203215,75568453,76941572,78323298,79716203,81121077,82536770,
"Egypt, Arab Rep.",EGY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,250855694590.395,266044252989.294,274067422499.644,288089856741.762,307899373599.146,332275442765.316,369323152926.98,408619695638.388,447247298960.858,470843761486.843,488213439500.381,504755635402.733,
El Salvador,SLV,"Population, total",SP.POP.TOTL,5940305,5966027,5988233,6008523,6028792,6050513,6074487,6100868,6129628,6160423,6192993,6227491,
El Salvador,SLV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,26725491718.5789,27799522221.1394,28812766211.1316,29926563769.8644,31309410094.9796,33511566521.171,36134586732.1226,38644992562.3055,40188904125.8787,39090174518.1221,39953568237.3891,41370985901.7582,
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,520380,537195,554429,571999,589794,607739,625777,643936,662327,681115,700401,720213,
Equatorial Guinea,GNQ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2788590352.59146,3297017470.00772,4358328175.31792,4418994984.22389,5865790175.10365,7658158173.61369,8573582644.06658,10386884369.2461,12709528163.2398,17522658624.6274,15077167005.8805,18449571132.6325,
Eritrea,ERI,"Population, total",SP.POP.TOTL,3667576,3812473,3973973,4145500,4318343,4486155,4645837,4798561,4947521,5097998,5253676,5415280,
Eritrea,ERI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1876745405.2047,2317335370.19123,2412098049.88867,2392494577.23191,2488801161.93586,2651395441.20501,2714436282.42949,2837883631.87477,2608442349.25056,2743099280.81415,2823103331.40959,3137593616.46787,
Estonia,EST,"Population, total",SP.POP.TOTL,1369515,1364101,1358644,1353557,1349290,1346097,1343547,1341672,1340675,1340271,1340161,1340000,
Estonia,EST,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13090948314.7183,14024081833.6701,15619182621.5531,17198198348.0566,18974372794.8931,21427640861.0655,24368094320.8982,27036520447.1567,28097083835.5558,25267538607.8313,25424443911.3547,27937385364.3847,
Ethiopia,ETH,"Population, total",SP.POP.TOTL,65577897,67303731,69040669,70784012,72526620,74263861,75993403,77718436,79446419,81187751,82949541,84734262,
Ethiopia,ETH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,30451489934.243,33763758510.6617,34872863946.7052,34746079899.631,40628639950.104,47099600260.0176,53906969526.0829,62026341438.0107,70238855394.415,77269208713.1566,85347500525.438,93753751117.0594,
Faeroe Islands,FRO,"Population, total",SP.POP.TOTL,45743,46358,46944,47472,47915,48258,48475,48572,48597,48625,48708,48863,
Faeroe Islands,FRO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Fiji,FJI,"Population, total",SP.POP.TOTL,811718,814780,816336,817339,819102,822553,828046,835267,843651,852323,860623,868406,
Fiji,FJI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2853686795.67363,2894613601.66789,3086042899.9893,3158542146.89904,3418334124.16078,3607411989.45704,3593181219.37229,3729888326.12724,3843608483.46587,3924569211.79319,3834499582.9552,4001946140.92511,
Finland,FIN,"Population, total",SP.POP.TOTL,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5387000,
Finland,FIN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,131859175791.367,137500204700.779,143417724401.747,142925925700.884,157305203952.289,161838723337.594,175949585096.627,191258015573.074,203203095189.895,192774219019.656,196114985864.079,202912444380.643,
France,FRA,"Population, total",SP.POP.TOTL,60910922,61355563,61803045,62242266,62701871,63175934,63617567,64012051,64370515,64720232,65075569,65436552,
France,FRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1554788576267.83,1650295298647.61,1716400491637.31,1710058535274.05,1784338137765.03,1889806062800.52,2025158971696.2,2149701152745.27,2229835833623.3,2218512565201.65,2272163479376.61,2349820317146.86,
French Polynesia,PYF,"Population, total",SP.POP.TOTL,237638,241448,245000,248357,251622,254870,258119,261345,264541,267685,270764,273777,
French Polynesia,PYF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Gabon,GAB,"Population, total",SP.POP.TOTL,1235274,1263165,1290532,1317484,1344171,1370729,1397192,1423637,1450310,1477514,1505463,1534262,
Gabon,GAB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12290104624.3109,13142449282.2786,13880026557.1315,14190291759.9166,13978329681.0948,15867759747.2677,15978698263.2212,17632712793.3195,18449329868.0205,19036785157.0967,19639037354.1726,21076064998.4864,
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1297084,1335674,1376035,1417818,1460493,1503678,1547259,1591357,1636107,1681734,1728394,1776103,
"Gambia, The",GMB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1734500547.69726,1863418718.12949,1809953809.8068,1966154685.53547,2222915755.14544,2274351812.06809,2368342654.3362,2541049519.92715,2762696705.84351,2965727013.9599,3181743216.93734,3102899116.43462,
