# Territory names from CLDR
അസൻഷൻ ദ്വീപ്	ಅಸൻಷൻ ದ್ವೀಪ್
റുവാണ്ട	ಱುವಾಣ್ಟ
സൗദി അറേബ്യ	ಸೌದಿ ಅಱೇಬ್ಯ
സോളമൻ‍ ദ്വീപുകൾ	ಸೇಾಳಮൻ‍ ದ್ವೀಪುಕൾ
സെയ്‌ഷെൽസ്	ಸೆಯ್‌ಷೆൽಸ್
സുഡാൻ	ಸುಡಾൻ
സ്വീഡൻ	ಸ್ವೀಡൻ
സിംഗപ്പുർ	ಸಿಂಗಪ್ಪುർ
സെൻറ് ഹെലീന	ಸೆൻಱ್ ಹೆಲೀನ
സ്ലോവേനിയ	ಸ್ಲೇಾವೇನಿಯ
സ്വാൽബാഡും ജാൻ മായേനും	ಸ್ವಾൽಬಾಡುಂ ಜಾൻ ಮಾಯೇನುಂ
സ്ലോവാക്യ	ಸ್ಲೇಾವಾಕ್ಯ
സിയെറ ലിയോൺ	ಸಿಯೆಱ ಲಿಯೇಾൺ
സാൻ മറിനോ	ಸಾൻ ಮಱಿನೇಾ
സെനഗൽ	ಸೆನಗൽ
സോമാലിയ	ಸೇಾಮಾಲಿಯ
സുരിനെയിം	ಸುರಿನೆಯಿಂ
ദക്ഷിണ സുഡാൻ	ದಕ್ಷಿಣ ಸುಡಾൻ
സാവോ ടോമും പ്രിൻസിപെയും	ಸಾವೇಾ ಟೇಾಮುಂ ಪ್ರಿൻಸಿಪೆಯುಂ
എൽ സാൽവദോർ	ಎൽ ಸಾൽವದೇಾർ
സിന്റ് മാർട്ടെൻ	ಸಿನ್ಱ್ ಮಾർಟ್ಟೆൻ
സിറിയ	ಸಿಱಿಯ
സ്വാസിലാൻറ്	ಸ್ವಾಸಿಲಾൻಱ್
ട്രസ്റ്റൻ ഡ കൂന	ಟ್ರಸ್ಱ್ಱൻ ಡ ಕೂನ
ടർക്ക്‌സും കെയ്‌ക്കോ ദ്വീപുകളും	ಟർಕ್ಕ್‌ಸುಂ ಕೆಯ್‌ಕ್ಕೇಾ ದ್ವೀಪುಕಳುಂ
ഛാഡ്	ಛಾಡ್
ഫ്രഞ്ച് ദക്ഷിണ ഭൂപ്രദേശം	ಫ್ರಞ್ಚ್ ದಕ್ಷಿಣ ಭೂಪ್ರದೇಶಂ
ടോഗോ	ಟೇಾಗೇಾ
തായ്‌ലാൻഡ്	ತಾಯ್‌ಲಾൻಡ್
താജിക്കിസ്ഥാൻ	ತಾಜಿಕ್ಕಿಸ್ಥಾൻ
ടോക്കെലൂ	ಟೇಾಕ್ಕೆಲೂ
തിമോർ-ലെസ്റ്റെ	ತಿಮೇಾർ-ಲೆಸ್ಱ್ಱೆ
കിഴക്കൻ തിമോർ	ಕಿೞಕ್ಕൻ ತಿಮೇಾർ
തുർക്ക്മെനിസ്ഥാൻ	ತುർಕ್ಕ್ಮೆನಿಸ್ಥಾൻ
ടുണീഷ്യ	ಟುಣೀಷ್ಯ
ടോംഗ	ಟೇಾಂಗ
തുർക്കി	ತುർಕ್ಕಿ
ട്രിനിഡാഡും ടുബാഗോയും	ಟ್ರಿನಿಡಾಡುಂ ಟುಬಾಗೇಾಯುಂ
ടുവാലു	ಟುವಾಲು
തായ്‌വാൻ	ತಾಯ್‌ವಾൻ
ടാൻസാനിയ	ಟಾൻಸಾನಿಯ
ഉക്രെയ്‌ൻ	ಉಕ್ರೆಯ್‌ൻ
ഉഗാണ്ട	ಉಗಾಣ್ಟ
അമേരിക്കൻ ഐക്യനാടുകൾ	ಅಮೇರಿಕ್ಕൻ ಐಕ್ಯನಾಟುಕൾ
ഉറുഗ്വേ	ಉಱುಗ್ವೇ
ഉസ്‌ബെക്കിസ്ഥാൻ	ಉಸ್‌ಬೆಕ್ಕಿಸ್ಥಾൻ
വത്തിക്കാൻ	ವತ್ತಿಕ್ಕಾൻ
സെന്റ് വിൻസെന്റും ഗ്രനെഡൈൻസും	ಸೆನ್ಱ್ ವಿൻಸೆನ್ಱುಂ ಗ್ರನೆಡೈൻಸುಂ
വെനിസ്വേല	ವೆನಿಸ್ವೇಲ
ബ്രിട്ടീഷ് വെർജിൻ ദ്വീപുകൾ	ಬ್ರಿಟ್ಟೀಷ್ ವೆർಜಿൻ ದ್ವೀಪುಕൾ
വിയറ്റ്നാം	ವಿಯಱ್ಱ್ನಾಂ
വന്വാതു	ವನ್ವಾತು
വാലിസ് ആന്റ് ഫ്യൂച്യുന	ವಾಲಿಸ್ ಆನ್ಱ್ ಫ್ಯೂಚ್ಯುನ
സമോവ	ಸಮೇಾವ
കൊസോവൊ	ಕೆಾಸೇಾವೆಾ
യെമൻ	ಯೆಮൻ
മയോട്ടി	ಮಯೇಾಟ್ಟಿ
ദക്ഷിണാഫ്രിക്ക	ದಕ್ಷಿಣಾಫ್ರಿಕ್ಕ
സാംബിയ	ಸಾಂಬಿಯ
സിംബാബ്‌വേ	ಸಿಂಬಾಬ್‌ವೇ
അജ്ഞാത പ്രദേശം	ಅಜ್ಞಾತ ಪ್ರದೇಶಂ
