# Territory names from CLDR
அஷன்ஷியன் தீவு	अषऩ्षियऩ् तीवु
தாஜிகிஸ்தான்	ताजिकिस्ताऩ्
டோகேலோ	टोकेलो
தைமூர்-லெஸ்தே	तैमूर्-लॆस्ते
கிழக்கு தைமூர்	किऴक्कु तैमूर्
துர்க்மெனிஸ்தான்	तुर्क्मॆऩिस्ताऩ्
டுனிசியா	टुऩिचिया
டோங்கா	टोङ्का
துருக்கி	तुरुक्कि
ட்ரினிடாட் &amp; டொபாகோ	ट्रिऩिटाट् &amp; टॊपाको
துவாலூ	तुवालू
தைவான்	तैवाऩ्
தான்சானியா	ताऩ्चाऩिया
உக்ரைன்	उक्रैऩ्
உகாண்டா	उकाण्टा
அமெரிக்கா	अमॆरिक्का
யூஎஸ்	यूऎस्
உருகுவே	उरुकुवे
உஸ்பெகிஸ்தான்	उस्पॆकिस्ताऩ्
வாடிகன் நகரம்	वाटिकऩ् नकरम्
செயின்ட் வின்சென்ட் &amp; கிரெனடைன்ஸ்	चॆयिऩ्ट् विऩ्चॆऩ्ट् &amp; किरॆऩटैऩ्स्
வெனிசுலா	वॆऩिचुला
பிரிட்டீஷ் கன்னித் தீவுகள்	पिरिट्टीष् कऩ्ऩित् तीवुकळ्
வியட்நாம்	वियट्नाम्
வனுவாட்டு	वऩुवाट्टु
வாலிஸ் மற்றும் ஃபுடுனா	वालिस् मऱ्ऱुम् ःपुटुऩा
சமோவா	चमोवा
கொசோவோ	कॊचोवो
ஏமன்	एमऩ्
மயோட்	मयोट्
தென் ஆப்பிரிக்கா	तॆऩ् आप्पिरिक्का
ஜாம்பியா	जाम्पिया
ஜிம்பாப்வே	जिम्पाप्वे
அறியப்படாத பிரதேசம்	अऱियप्पटात पिरतेचम्
