# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	ଅସୈଂସ଼ନ ଟାପୂ
ਟੋਕੇਲਾਉ	ଟୋକେଲାଉ
ਤਿਮੋਰ-ਲੇਸਤੇ	ତିମୋର-ଲେସତେ
ਪੂਰਬੀ ਤਿਮੋਰ	ପୂରବୀ ତିମୋର
ਤੁਰਕਮੇਨਿਸਤਾਨ	ତୁରକମେନିସତାନ
ਟਿਊਨੀਸ਼ੀਆ	ଟିଊନୀସ଼ୀଆ
ਟੌਂਗਾ	ଟୌଂଗା
ਤੁਰਕੀ	ତୁରକୀ
ਟ੍ਰਿਨੀਡਾਡ ਅਤੇ ਟੋਬਾਗੋ	ଟ୍ରିନୀଡାଡ ଅତେ ଟୋବାଗୋ
ਟੁਵਾਲੂ	ଟୁଵାଲୂ
ਤਾਇਵਾਨ	ତାଇଵାନ
ਤਨਜ਼ਾਨੀਆ	ତନଜ଼ାନୀଆ
ਯੂਕਰੇਨ	ଯୂକରେନ
ਯੂਗਾਂਡਾ	ଯୂଗାଂଡା
ਸੰਯੁਕਤ ਰਾਜ	ସଯୁକତ ରାଜ
ਉਰੂਗਵੇ	ଉରୂଗଵେ
ਉਜ਼ਬੇਕਿਸਤਾਨ	ଉଜ଼ବେକିସତାନ
ਵੈਟੀਕਨ ਸਿਟੀ	ଵୈଟୀକନ ସିଟୀ
ਸੇਂਟ ਵਿਨਸੈਂਟ ਐਂਡ ਗ੍ਰੇਨਾਡੀਨਸ	ସେଂଟ ଵିନସୈଂଟ ଐଂଡ ଗ୍ରେନାଡୀନସ
ਵੇਨੇਜ਼ੂਏਲਾ	ଵେନେଜ଼ୂଏଲା
ਬ੍ਰਿਟਿਸ਼ ਵਰਜਿਨ ਟਾਪੂ	ବ୍ରିଟିସ଼ ଵରଜିନ ଟାପୂ
ਯੂ ਐਸ ਵਰਜਿਨ ਟਾਪੂ	ଯୂ ଐସ ଵରଜିନ ଟାପୂ
ਵੀਅਤਨਾਮ	ଵୀଅତନାମ
ਵਾਨੂਆਟੂ	ଵାନୂଆଟୂ
ਵਾਲਿਸ ਅਤੇ ਫੂਟੂਨਾ	ଵାଲିସ ଅତେ ଫୂଟୂନା
ਸਾਮੋਆ	ସାମୋଆ
ਕੋਸੋਵੋ	କୋସୋଵୋ
ਯਮਨ	ଯମନ
ਮਾਯੋਟੀ	ମାଯୋଟୀ
ਦੱਖਣੀ ਅਫਰੀਕਾ	ଦଖଣୀ ଅଫରୀକା
ਜ਼ਾਮਬੀਆ	ଜ଼ାମବୀଆ
ਜ਼ਿੰਬਾਬਵੇ	ଜ଼ିବାବଵେ
ਅਣਪਛਾਤਾ ਖੇਤਰ	ଅଣପଛାତା ଖେତର
