# Territory names from CLDR
असेंशन द्वीप	ಅಸೇಂಶನ ದ್ವೀಪ
पेराग्वे	ಪೇರಾಗ್ವೇ
क़तर	ಕ಼ತರ
आउटलाइंग ओशिनिया	ಆಉಟಲಾಇಂಗ ಓಶಿನಿಯಾ
रियूनियन	ರಿಯೂನಿಯನ
रोमानिया	ರೋಮಾನಿಯಾ
सर्बिया	ಸರ್ಬಿಯಾ
रूस	ರೂಸ
रवांडा	ರವಾಂಡಾ
सऊदी अरब	ಸಊದೀ ಅರಬ
सोलोमन द्वीपसमूह	ಸೋಲೋಮನ ದ್ವೀಪಸಮೂಹ
सेशेल्स	ಸೇಶೇಲ್ಸ
सूडान	ಸೂಡಾನ
स्वीडन	ಸ್ವೀಡನ
सिंगापुर	ಸಿಂಗಾಪುರ
सेंट हेलेना	ಸೇಂಟ ಹೇಲೇನಾ
स्लोवेनिया	ಸ್ಲೋವೇನಿಯಾ
स्वालबार्ड और जान मायेन	ಸ್ವಾಲಬಾರ್ಡ ಔರ ಜಾನ ಮಾಯೇನ
स्लोवाकिया	ಸ್ಲೋವಾಕಿಯಾ
सिएरा लियोन	ಸಿಏರಾ ಲಿಯೋನ
सैन मेरीनो	ಸೈನ ಮೇರೀನೋ
सेनेगल	ಸೇನೇಗಲ
सोमालिया	ಸೋಮಾಲಿಯಾ
सूरीनाम	ಸೂರೀನಾಮ
दक्षिण सूडान	ದಕ್ಷಿಣ ಸೂಡಾನ
साओ टोम और प्रिंसिपे	ಸಾಓ ಟೋಮ ಔರ ಪ್ರಿಂಸಿಪೇ
अल सल्वाडोर	ಅಲ ಸಲ್ವಾಡೋರ
सिंट मार्टिन	ಸಿಂಟ ಮಾರ್ಟಿನ
सीरिया	ಸೀರಿಯಾ
स्वाज़ीलैंड	ಸ್ವಾಜ಼ೀಲೈಂಡ
त्रिस्टान डा कुना	ತ್ರಿಸ್ಟಾನ ಡಾ ಕುನಾ
तुर्क और कैकोज़ द्वीपसमूह	ತುರ್ಕ ಔರ ಕೈಕೋಜ಼ ದ್ವೀಪಸಮೂಹ
चाड	ಚಾಡ
फ़्रांसीसी दक्षिणी क्षेत्र	ಫ಼್ರಾಂಸೀಸೀ ದಕ್ಷಿಣೀ ಕ್ಷೇತ್ರ
टोगो	ಟೋಗೋ
थाईलैंड	ಥಾಈಲೈಂಡ
ताजिकिस्तान	ತಾಜಿಕಿಸ್ತಾನ
तोकेलाउ	ತೋಕೇಲಾಉ
तिमोर-लेस्त	ತಿಮೋರ-ಲೇಸ್ತ
पूर्वी तिमोर	ಪೂರ್ವೀ ತಿಮೋರ
तुर्कमेनिस्तान	ತುರ್ಕಮೇನಿಸ್ತಾನ
ट्यूनीशिया	ಟ್ಯೂನೀಶಿಯಾ
टोंगा	ಟೋಂಗಾ
तुर्की	ತುರ್ಕೀ
त्रिनिदाद और टोबैगो	ತ್ರಿನಿದಾದ ಔರ ಟೋಬೈಗೋ
तुवालू	ತುವಾಲೂ
ताइवान	ತಾಇವಾನ
