# Baby names
దానీశ	دانیش
దామినీ	دامینی
దారుకా	داروكا
దిబసరీ	دیبسری
దిబ్యా	دیبیا
దివీథా	دیویتها
దిశీతా	دیشیتا
దీక్శీకా	دیكشیكا
దీక్షానా	دیكشانا
దీపక	دیبك
దీపథీ	دیبتهی
దీపా లక్ష్మీ	دیبا لكشمی
దీపాంశ	دیبانش
దీపేందు	دیبیندو
దీప్తిమాన	دیبتیمان
దేజ	دیج
దేబజ్యోతీ	دیبجیوتی
దేబన్శీ	دیبنشی
దేబ్ప్రతిమ	دیببرتیم
దేబ్ప్రసాద	دیببرساد
దేయాశీనీ	دییاشینی
దేవకలీ	دیوكلی
దేవదత్తా	دیودتتا
దేవదర్శన	دیودرشن
దేవనారాయణ	دیوناراین
దేవమతి	دیومتی
దేవాదార్స	دیوادارس
దేవాన్శీ	دیوانشی
దేవారహాల్లీ	دیوارهاللی
దేవారీశీ	دیواریشی
దేవార్యా	دیواریا
దేవాశ్రీ	دیواشری
దేవాస్మిథా	دیواسمیتها
దేవినా	دیوینا
దేవేశీ	دیویشی
దేవేసీ	دیویسی
దేవ్యశీ	دیویشی
దేశనీ	دیشنی
దేశిక	دیشیك
దైపాయన	دایباین
ధనాశ్రీ	دهناشری
ధనాస్వీ	دهناسوی
ధనుస	دهنوس
ధరనీ	دهرنی
ధరమనిష్ఠ	دهرمنیشطه
ధరానిశ	دهرانیش
ధర్మజా	دهرمجا
ధర్మదాస	دهرمداس
ధర్మదేవ	دهرمدیو
ధర్శానీ	دهرشانی
ధర్శీనీ	دهرشینی
ధర్శీనీకా	دهرشینیكا
ధవల	دهول
ధాన	دهان
ధానశ్రీ	دهانشری
ధానీశ్కా	دهانیشكا
ధామ	دهام
ధామన	دهامن
ధారణా	دهارنا
ధారనా	دهارنا
ధావక	دهاوك
ధీక్శీథా	دهیكشیتها
ధీయాన	دهییان
ధీవాశీనీ	دهیواشینی
ధుమావతీ	دهوماوتی
ధూన	دهون
ధృతి	دهرتی
ధేయాంశీ	دهییانشی
ధైర్యశీల	دهایریشیل
ధోశీనీ	دهوشینی
ధ్రాస్తీ	دهراستی
నంద	نند
నందలాల	نندلال
నందినీ	نندینی
నందీఘోష	نندیجهوش
నక్షాత్ర	نكشاتر
నగరజన	نجرجن
నగా మాంల్లేస్వారీ	نجا مانللیسواری
నచికేతాస	نتشیكیتاس
నటరాజన	نطراجن
నభా	نبها
నభాన్యు	نبهانیو
నభోజ	نبهوج
నమ్రతా	نمرتا
నరేన	نرین
నరేన్దేర	نریندیر
నర్తానా	نرتانا
నర్మద	نرمد
నర్మదా	نرمدا
నలినా	نلینا
నలేశ	نلیش
నవకార	نوكار
నవరాజ	نوراج
నవితా	نویتا
నాగదాతా	ناجداتا
నాగనాథ	ناجناته
నాగరాజు	ناجراجو
నాగేశ్వర	ناجیشور
నాతాభైరవీ	ناتابهایروی
నాతేసన	ناتیسن
నాధీనీ	نادهینی
నాన్నాన	ناننان
నామదేవ	نامدیو
నామాంనారాయనీ	نامانناراینی
నామాంశీ	نامانشی
నామీశా	نامیشا
నారన	نارن
నారాయన	ناراین
నారీనే	ناریني
నావేతా	ناویتا
నాహర	ناهر
నికేతా	نیكیتا
నిఖార	نیكهار
నిఖాల	نیكهال
నితల	نیتل
నిదాన	نیدان
నిధ్యానా	نیدهیانا
నినాద	نیناد
నిమల	نیمل
నిమేశ	نیمیش
నిరంజనీ	نیرنجنی
నిరాంత	نیرانت
నిరాధార	نیرادهار
నిర్మళా	نیرمرا
నిలారూనా	نیلارونا
నిలావోలీ	نیلاوولی
నిలీన	نیلین
నిశ్కా	نیشكا
నిష్ణాం	نیشنان
