child	parent
http://www.wikidata.org/entity/Q1468146	http://www.wikidata.org/entity/Q5218
http://www.wikidata.org/entity/Q5575757	http://www.wikidata.org/entity/Q5218
http://www.wikidata.org/entity/Q13191119	http://www.wikidata.org/entity/Q5218
http://www.wikidata.org/entity/Q50934259	http://www.wikidata.org/entity/Q5218
http://www.wikidata.org/entity/Q62389340	http://www.wikidata.org/entity/Q5218
http://www.wikidata.org/entity/Q36555	http://www.wikidata.org/entity/Q5218
http://www.wikidata.org/entity/Q841213	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q1332057	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q3162252	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q5637049	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q10878817	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q11527182	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q11610632	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q11628382	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q24865610	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q29413604	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q53979342	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q53979341	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q53979345	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q53979348	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q53979504	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q97205921	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q108018128	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q750553	http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q800116	http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q922399	http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q1797021	http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q2994901	http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q4373398	http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q4373396	http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q5035141	http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q5616512	http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q7665714	http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q7862687	http://www.wikidata.org/entity/Q5287
http://www.wikidata.org/entity/Q9290867	http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q25559304	http://www.wikidata.org/entity/Q5137
http://www.wikidata.org/entity/Q4855078	http://www.wikidata.org/entity/Q5885
http://www.wikidata.org/entity/Q4955615	http://www.wikidata.org/entity/Q5885
http://www.wikidata.org/entity/Q5061893	http://www.wikidata.org/entity/Q5885
http://www.wikidata.org/entity/Q6429269	http://www.wikidata.org/entity/Q5885
http://www.wikidata.org/entity/Q7586046	http://www.wikidata.org/entity/Q5885
http://www.wikidata.org/entity/Q17058993	http://www.wikidata.org/entity/Q5885
http://www.wikidata.org/entity/Q19646253	http://www.wikidata.org/entity/Q5885
http://www.wikidata.org/entity/Q20987434	http://www.wikidata.org/entity/Q5885
http://www.wikidata.org/entity/Q30596013	http://www.wikidata.org/entity/Q5885
http://www.wikidata.org/entity/Q1711179	http://www.wikidata.org/entity/Q7026
http://www.wikidata.org/entity/Q1711179	http://www.wikidata.org/entity/Q615948
http://www.wikidata.org/entity/Q1711179	http://www.wikidata.org/entity/Q931969
http://www.wikidata.org/entity/Q1805453	http://www.wikidata.org/entity/Q7026
http://www.wikidata.org/entity/Q2941598	http://www.wikidata.org/entity/Q7026
http://www.wikidata.org/entity/Q15478520	http://www.wikidata.org/entity/Q7026
http://www.wikidata.org/entity/Q21730704	http://www.wikidata.org/entity/Q7026
http://www.wikidata.org/entity/Q21730705	http://www.wikidata.org/entity/Q7026
http://www.wikidata.org/entity/Q28710715	http://www.wikidata.org/entity/Q7026
http://www.wikidata.org/entity/Q836398	http://www.wikidata.org/entity/Q6654
http://www.wikidata.org/entity/Q237409	http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q512444	http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q1323611	http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q1687911	http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q1877849	http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q2096064	http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q13406210	http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q26156262	http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q34147	http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q36423	http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q1627941	http://www.wikidata.org/entity/Q7918
http://www.wikidata.org/entity/Q3404783	http://www.wikidata.org/entity/Q7918
http://www.wikidata.org/entity/Q3433211	http://www.wikidata.org/entity/Q7913
http://www.wikidata.org/entity/Q4853970	http://www.wikidata.org/entity/Q7913
http://www.wikidata.org/entity/Q4948584	http://www.wikidata.org/entity/Q7918
http://www.wikidata.org/entity/Q5060409	http://www.wikidata.org/entity/Q7918
http://www.wikidata.org/entity/Q5316028	http://www.wikidata.org/entity/Q7918
http://www.wikidata.org/entity/Q5361091	http://www.wikidata.org/entity/Q7918
http://www.wikidata.org/entity/Q5994844	http://www.wikidata.org/entity/Q7918
http://www.wikidata.org/entity/Q6895759	http://www.wikidata.org/entity/Q7913
http://www.wikidata.org/entity/Q7410018	http://www.wikidata.org/entity/Q7918
http://www.wikidata.org/entity/Q7553689	http://www.wikidata.org/entity/Q7918
http://www.wikidata.org/entity/Q20497540	http://www.wikidata.org/entity/Q7918
http://www.wikidata.org/entity/Q25975639	http://www.wikidata.org/entity/Q7913
http://www.wikidata.org/entity/Q36392	http://www.wikidata.org/entity/Q7913
http://www.wikidata.org/entity/Q1976816	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q2114962	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q2167573	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q2299376	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q2548276	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q2852542	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q2852547	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q2852592	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q2852610	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q3541574	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q5150795	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q12952768	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q15069308	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q16112760	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q35787963	http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q393144	http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q505125	http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q505125	http://www.wikidata.org/entity/Q9043
http://www.wikidata.org/entity/Q626422	http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q2348037	http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q2371178	http://www.wikidata.org/entity/Q7737
